County,Year,All causes (total),Alzheimer's disease,Malignant neoplasms,Chronic lower respiratory diseases,Diabetes mellitus,Assault (homicide),Diseases of heart,Essential hypertension and hypertensive renal disease,Accidents (unintentional injuries),Chronic liver disease and cirrhosis,"Nephritis, nephrotic syndrome and nephrosis",Parkinson's disease,Influenza and pneumonia,Cerebrovascular diseases,Intentional self-harm (suicide),annual_mean_pm25,annual_mean_ozone,annual_mean_pb,annual_mean_pm10,annual_mean_co,annual_mean_no2,annual_mean_so2,FIPS,asthma_er_avg,cancer_incidence_rate,asthma_deaths,Bladder_Surgery_Ct,Brain_Surgery_Ct,Breast_Surgery_Ct,Colon_Surgery_Ct,Esophagus_Surgery_Ct,Liver_Surgery_Ct,Lung_Surgery_Ct,Pancreas_Surgery_Ct,Prostate_Surgery_Ct,Rectum_Surgery_Ct,Stomach_Surgery_Ct,hpi2score,economic,education,housing,healthcareaccess,neighborhood,pollution,transportation,social,insured,uncrowded,homeownership,automobile,commute,inpreschool,inhighschool,bachelorsed,employed,abovepoverty,income,tree_canopy,supermarkets,park_access,h2o_contam
Alameda,2017,10068.5,624,2245,426.5,367,100,1962,262.5,408.5,164.5,149.5,132,239,806.5,143.5,10.324091671324762,0.03171895043731778,NA,NA,0.6425326909841707,22.72096,1.6348082595870206,6001,8061.666666666667,120.7,67,26,52,1103,314,39,66,144,56,88,110,32,0.3532966057215909,0.4235986755369318,0.30200353412500003,0.16961546221875,0.5671394360852273,0.10617285166193181,0.6773419099261364,0.3752926777784091,0.20298288955681817,86.28863636363636,93.18380681818182,53.16619318181818,89.94545454545455,21.369066847511363,59.540113636363635,97.91136363636363,43.26875,72.69801136363637,72.09681451326705,81783.44886363637,8.817190045454545,57.22351173209375,92.67841573863636,118.7139589165625
Alameda,2018,10043,640,2282,410,329,88.5,2019.5,246.5,448.5,163,161.5,130,256,684,168,12.913035019455252,0.030981121281464533,NA,NA,0.6169452449567724,22.76989918386942,1.3513966480446928,6001,8061.666666666667,120.7,67,21,38,1220,300,50,70,158,67,93,112,36,0.3532966057215909,0.4235986755369318,0.30200353412500003,0.16961546221875,0.5671394360852273,0.10617285166193181,0.6773419099261364,0.3752926777784091,0.20298288955681817,86.28863636363636,93.18380681818182,53.16619318181818,89.94545454545455,21.369066847511363,59.540113636363635,97.91136363636363,43.26875,72.69801136363637,72.09681451326705,81783.44886363637,8.817190045454545,57.22351173209375,92.67841573863636,118.7139589165625
Alameda,2019,10211.5,616.5,2243.5,399.5,351,92,2060,254.5,520.5,172.5,147.5,136,217,748,156,7.329480580252691,0.031640738668158926,NA,NA,0.55,21.401722532588455,1.312857142857143,6001,8061.666666666667,120.7,67,25,42,1200,269,61,64,239,64,133,111,29,0.3532966057215909,0.4235986755369318,0.30200353412500003,0.16961546221875,0.5671394360852273,0.10617285166193181,0.6773419099261364,0.3752926777784091,0.20298288955681817,86.28863636363636,93.18380681818182,53.16619318181818,89.94545454545455,21.369066847511363,59.540113636363635,97.91136363636363,43.26875,72.69801136363637,72.09681451326705,81783.44886363637,8.817190045454545,57.22351173209375,92.67841573863636,118.7139589165625
Butte,2017,2513,188.5,521,170.5,81,NA,544,27.5,142.5,54.5,23,44,53,148.5,42.5,9.984574868322047,0.04402646239554318,0.0022714285714285714,22.15076923076923,0.3512328767123288,14.332782369146006,NA,6007,865.3333333333334,133.7,NA,3,10,259,75,NA,2,14,1,64,36,4,-0.18965448270588237,-0.6662109517843138,-0.17854541915686276,0.2022795652352941,0.21846370219607844,0.24802919582352942,0.25280057221568625,-0.045707606941176475,0.08570329456862745,82.05882352941177,96.66666666666667,57.96666666666667,92.97058823529412,7.400099557078431,46.57843137254902,97.46274509803922,25.28627450980392,61.411764705882355,55.117515392549024,45160.41176470588,25.23308494901961,26.117615407941177,61.160592745098036,452.6342500117647
Butte,2018,2609,199,551,131,48.5,NA,577,25.5,220.5,51.5,20.5,26,70,131,55,14.488928317955997,0.04463842662632375,0.004816451612903226,31.03932584269663,0.46821917808219177,15.176731301939059,NA,6007,865.3333333333334,133.7,NA,7,14,325,59,NA,5,14,6,88,31,6,-0.18965448270588237,-0.6662109517843138,-0.17854541915686276,0.2022795652352941,0.21846370219607844,0.24802919582352942,0.25280057221568625,-0.045707606941176475,0.08570329456862745,82.05882352941177,96.66666666666667,57.96666666666667,92.97058823529412,7.400099557078431,46.57843137254902,97.46274509803922,25.28627450980392,61.411764705882355,55.117515392549024,45160.41176470588,25.23308494901961,26.117615407941177,61.160592745098036,452.6342500117647
Butte,2019,2165.5,138,455,145.5,46,NA,471,22.5,147,43,26.5,23,42.5,120,42.5,6.97097288676236,0.04233383915022762,0.0014282758620689656,19.914285714285715,0.3159779614325069,14.428366762177651,NA,6007,865.3333333333334,133.7,NA,1,13,216,53,NA,3,13,6,61,22,3,-0.18965448270588237,-0.6662109517843138,-0.17854541915686276,0.2022795652352941,0.21846370219607844,0.24802919582352942,0.25280057221568625,-0.045707606941176475,0.08570329456862745,82.05882352941177,96.66666666666667,57.96666666666667,92.97058823529412,7.400099557078431,46.57843137254902,97.46274509803922,25.28627450980392,61.411764705882355,55.117515392549024,45160.41176470588,25.23308494901961,26.117615407941177,61.160592745098036,452.6342500117647
Calaveras,2017,422.5,19.5,109.5,25.5,11,NA,102.5,NA,23,NA,NA,NA,NA,24,11,13.379148936170212,0.047273504273504276,NA,16.58744394618834,NA,NA,NA,6009,194.33333333333334,111.4,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,-0.16451680877777777,-0.4675937936666667,-0.75251711033333335,0.4911691068888889,0.38122826955555555,0.4554319182222222,0.5705284197777778,-0.053627869,0.22247740144444444,84.03333333333333,98.05555555555556,78.87777777777778,96.14444444444445,2.9076050726666667,31.099999999999998,91.82222222222222,23.233333333333334,58.37777777777777,69.03461118666667,53673.444444444445,35.94499037777778,22.960011906888887,40.82194666666667,418.0990128955556
Calaveras,2018,455.5,18.5,106.5,27.5,16.5,NA,108,NA,20.5,14,NA,NA,14,18.5,13,14.665546218487394,0.04509497206703911,NA,14.254901960784315,NA,NA,NA,6009,194.33333333333334,111.4,NA,NA,NA,1,4,NA,NA,NA,NA,NA,1,NA,-0.16451680877777777,-0.4675937936666667,-0.75251711033333335,0.4911691068888889,0.38122826955555555,0.4554319182222222,0.5705284197777778,-0.053627869,0.22247740144444444,84.03333333333333,98.05555555555556,78.87777777777778,96.14444444444445,2.9076050726666667,31.099999999999998,91.82222222222222,23.233333333333334,58.37777777777777,69.03461118666667,53673.444444444445,35.94499037777778,22.960011906888887,40.82194666666667,418.0990128955556
Calaveras,2019,434,22,94,28,11.5,NA,103.5,NA,27.5,11,NA,NA,15,21,NA,5.46094674556213,0.04359428571428572,NA,12.625368731563421,NA,NA,NA,6009,194.33333333333334,111.4,NA,NA,NA,2,3,NA,NA,NA,NA,NA,1,NA,-0.16451680877777777,-0.4675937936666667,-0.75251711033333335,0.4911691068888889,0.38122826955555555,0.4554319182222222,0.5705284197777778,-0.053627869,0.22247740144444444,84.03333333333333,98.05555555555556,78.87777777777778,96.14444444444445,2.9076050726666667,31.099999999999998,91.82222222222222,23.233333333333334,58.37777777777777,69.03461118666667,53673.444444444445,35.94499037777778,22.960011906888887,40.82194666666667,418.0990128955556
Colusa,2017,139.5,12.5,26.5,NA,NA,0,37,0,NA,0,NA,NA,0,NA,NA,6.321030640668524,0.039648026315789474,NA,24.005797101449275,NA,NA,NA,6011,94.33333333333333,98.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1447470678,-0.378980184,-0.365373377,0.4594347276,-0.5282813824,-0.1420032638,0.5987089398,-0.1261296796,0.4567167392,73,92.44,61.699999999999996,94.7,3.169031037,41.14,98.14,15.36,65.88,58.221613088,51346.6,8.12567008,44.5582421262,61.111402,454.84810508000004
Colusa,2018,143.5,15,31.5,NA,NA,NA,27.5,NA,15,NA,NA,NA,NA,NA,NA,11.266090425531916,0.03841292134831461,NA,32.98853868194843,NA,NA,NA,6011,94.33333333333333,98.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1447470678,-0.378980184,-0.365373377,0.4594347276,-0.5282813824,-0.1420032638,0.5987089398,-0.1261296796,0.4567167392,73,92.44,61.699999999999996,94.7,3.169031037,41.14,98.14,15.36,65.88,58.221613088,51346.6,8.12567008,44.5582421262,61.111402,454.84810508000004
Colusa,2019,147.5,11,20.5,13,NA,NA,34.5,NA,19,NA,NA,0,NA,NA,NA,6.6081043956043954,0.037035911602209946,NA,28.03038674033149,NA,NA,NA,6011,94.33333333333333,98.9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1447470678,-0.378980184,-0.365373377,0.4594347276,-0.5282813824,-0.1420032638,0.5987089398,-0.1261296796,0.4567167392,73,92.44,61.699999999999996,94.7,3.169031037,41.14,98.14,15.36,65.88,58.221613088,51346.6,8.12567008,44.5582421262,61.111402,454.84810508000004
Contra Costa,2017,7930,555,1817,387.5,261.5,55.5,1557,144.5,308.5,108.5,104,111.5,157.5,627.5,99,11.436072423398329,0.036649808429118774,NA,17.352601156069365,0.40815018315018314,13.439465648854961,2.3365348399246706,6013,6205.666666666667,131.8,47,20,33,734,222,12,15,53,3,91,84,11,0.43423072898529413,0.5066388678970588,0.3450244965392157,0.31506616049509806,0.6000795343137255,0.13632466804411764,0.9254400167990195,0.29086410059803924,0.5385610305392157,86.68823529411765,95.17843137254901,65.17156862745098,94.15392156862745,13.680047115034315,62.24950980392157,98.87058823529412,40.1921568627451,71.51372549019608,75.32191870441177,89228.9362745098,13.40706880882353,37.041065059433336,79.49073578431373,121.73065261681373
Contra Costa,2018,7726.5,578.5,1800,352,217.5,52,1493.5,171,351.5,107,85,117.5,181,584,115,13.120254957507083,0.03512795549374131,NA,19.511904761904763,0.428310502283105,13.163425253991292,2.3236329053732763,6013,6205.666666666667,131.8,47,15,51,807,212,11,6,74,5,51,89,17,0.43423072898529413,0.5066388678970588,0.3450244965392157,0.31506616049509806,0.6000795343137255,0.13632466804411764,0.9254400167990195,0.29086410059803924,0.5385610305392157,86.68823529411765,95.17843137254901,65.17156862745098,94.15392156862745,13.680047115034315,62.24950980392157,98.87058823529412,40.1921568627451,71.51372549019608,75.32191870441177,89228.9362745098,13.40706880882353,37.041065059433336,79.49073578431373,121.73065261681373
Contra Costa,2019,7823.5,583,1887.5,337,255,56,1371,181,378.5,111.5,101.5,148,138.5,577,110,7.175215782983971,0.03661814345991561,NA,14.460674157303371,0.41325966850828727,12.65070323488045,1.9952291861552853,6013,6205.666666666667,131.8,47,18,51,955,200,15,7,82,6,52,71,18,0.43423072898529413,0.5066388678970588,0.3450244965392157,0.31506616049509806,0.6000795343137255,0.13632466804411764,0.9254400167990195,0.29086410059803924,0.5385610305392157,86.68823529411765,95.17843137254901,65.17156862745098,94.15392156862745,13.680047115034315,62.24950980392157,98.87058823529412,40.1921568627451,71.51372549019608,75.32191870441177,89228.9362745098,13.40706880882353,37.041065059433336,79.49073578431373,121.73065261681373
Del Norte,2017,320.5,NA,56,21,NA,NA,63.5,NA,22,15,NA,NA,NA,18.5,NA,6.055091383812011,NA,NA,NA,NA,NA,NA,6015,133,83,0,NA,NA,13,6,NA,NA,NA,NA,NA,NA,NA,-0.4116413395,-1.124459794,-0.31900848083333333,-0.018511876000000003,0.09408700483333333,0.13024872383333333,1.4023133108333332,-0.23866391233333334,-0.41971180399999997,80.55,95.75,59.85,90.15,6.706756422,38.7,99.33333333333333,15.549999999999999,52.516666666666666,51.394846873333336,40025.833333333336,25.692590933333335,20.342621073166665,36.72427666666667,263.54163488333336
Del Norte,2018,262,NA,56,18,NA,NA,58.5,0,15.5,NA,NA,NA,NA,13,NA,6.00607476635514,NA,NA,NA,NA,NA,NA,6015,133,83,0,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,-0.4116413395,-1.124459794,-0.31900848083333333,-0.018511876000000003,0.09408700483333333,0.13024872383333333,1.4023133108333332,-0.23866391233333334,-0.41971180399999997,80.55,95.75,59.85,90.15,6.706756422,38.7,99.33333333333333,15.549999999999999,52.516666666666666,51.394846873333336,40025.833333333336,25.692590933333335,20.342621073166665,36.72427666666667,263.54163488333336
Del Norte,2019,311.5,NA,62,24.5,14.5,NA,55,NA,22,NA,NA,NA,11,19.5,NA,4.93495145631068,NA,NA,NA,NA,NA,NA,6015,133,83,0,NA,NA,6,7,NA,NA,NA,NA,NA,2,NA,-0.4116413395,-1.124459794,-0.31900848083333333,-0.018511876000000003,0.09408700483333333,0.13024872383333333,1.4023133108333332,-0.23866391233333334,-0.41971180399999997,80.55,95.75,59.85,90.15,6.706756422,38.7,99.33333333333333,15.549999999999999,52.516666666666666,51.394846873333336,40025.833333333336,25.692590933333335,20.342621073166665,36.72427666666667,263.54163488333336
El Dorado,2017,1445.5,62,342.5,113,30.5,NA,342.5,20,96,31,12,22,25,41,32.5,3.6339449541284403,0.050857988165680476,NA,17.258160237388726,NA,NA,NA,6017,584.3333333333334,128.4,NA,2,NA,67,11,NA,1,5,1,21,8,NA,0.27161574382500003,0.187633825175,0.053505660725,0.4154089532,0.6138264325,0.54889692735,0.6271847455,0.014963842875000001,0.6759400358,86.855,97.905,74.0575,95.3025,5.65719920405,48.9375,99.045,31.765,67.38,74.33582349299999,75208.35,36.8590825775,14.979344823655,63.58590075,252.8172060525
El Dorado,2018,1455.5,71,340.5,94,32.5,NA,335,15,92,39,18,15,29,75,24,4.518565400843882,0.05208827404479578,NA,16.629411764705882,NA,NA,NA,6017,584.3333333333334,128.4,NA,NA,NA,39,22,NA,NA,2,NA,28,4,NA,0.27161574382500003,0.187633825175,0.053505660725,0.4154089532,0.6138264325,0.54889692735,0.6271847455,0.014963842875000001,0.6759400358,86.855,97.905,74.0575,95.3025,5.65719920405,48.9375,99.045,31.765,67.38,74.33582349299999,75208.35,36.8590825775,14.979344823655,63.58590075,252.8172060525
El Dorado,2019,1436.5,63.5,350,82,30.5,NA,340,13,82.5,40,NA,23,22,60,39,2.7480225988700564,0.046828611898017,NA,13.896848137535816,NA,NA,NA,6017,584.3333333333334,128.4,NA,NA,NA,54,24,NA,3,3,NA,8,1,NA,0.27161574382500003,0.187633825175,0.053505660725,0.4154089532,0.6138264325,0.54889692735,0.6271847455,0.014963842875000001,0.6759400358,86.855,97.905,74.0575,95.3025,5.65719920405,48.9375,99.045,31.765,67.38,74.33582349299999,75208.35,36.8590825775,14.979344823655,63.58590075,252.8172060525
Fresno,2017,7317,377,1370.5,345.5,245.5,92,1677.5,226.5,462.5,159,99.5,71,150.5,462.5,109,12.005932809149392,0.050027465667915105,0.0030952380952380953,36.927181418706844,0.3766076421248835,21.990416263310745,1.3486033519553073,6019,7103.333333333333,108.9,57,1,79,768,178,10,10,65,11,122,60,18,-0.47170655785416665,-0.6078416604322917,-0.3844647505416667,0.0033555067812499973,-0.324903964375,-0.24321458627604167,-1.1662393055260416,-0.3033501849739583,-0.5967808983489583,75.4671875,89.7046875,52.2625,90.64270833333333,4.522578829703125,37.672916666666666,97.53125,19.159895833333334,64.17395833333333,49.45344951733333,49564.932291666664,5.369123893229166,38.20411361106771,54.11677708333333,705.1836692598959
Fresno,2018,7302.5,376,1414,348.5,300,64,1648,202,443,172,76.5,70,199,426,110.5,13.153742937853107,0.048741386299148766,0.004133870967741936,38.38867924528302,0.3794990723562152,21.866462264150943,1.3524861878453038,6019,7103.333333333333,108.9,57,3,67,807,179,2,20,61,21,97,102,24,-0.47170655785416665,-0.6078416604322917,-0.3844647505416667,0.0033555067812499973,-0.324903964375,-0.24321458627604167,-1.1662393055260416,-0.3033501849739583,-0.5967808983489583,75.4671875,89.7046875,52.2625,90.64270833333333,4.522578829703125,37.672916666666666,97.53125,19.159895833333334,64.17395833333333,49.45344951733333,49564.932291666664,5.369123893229166,38.20411361106771,54.11677708333333,705.1836692598959
Fresno,2019,7245.5,406.5,1396,317,268,74.5,1698,203.5,444.5,168.5,96,85.5,118.5,393.5,106,8.499363534256833,0.046728,0.0032224137931034483,32.72598870056497,0.4306930693069307,20.022569444444443,1.1160220994475138,6019,7103.333333333333,108.9,57,3,88,858,208,12,19,59,14,83,99,22,-0.47170655785416665,-0.6078416604322917,-0.3844647505416667,0.0033555067812499973,-0.324903964375,-0.24321458627604167,-1.1662393055260416,-0.3033501849739583,-0.5967808983489583,75.4671875,89.7046875,52.2625,90.64270833333333,4.522578829703125,37.672916666666666,97.53125,19.159895833333334,64.17395833333333,49.45344951733333,49564.932291666664,5.369123893229166,38.20411361106771,54.11677708333333,705.1836692598959
Glenn,2017,205.5,13,42,17,NA,NA,48.5,NA,13.5,NA,0,NA,NA,16,11,9.259934853420196,0.04034670487106017,NA,24.69705882352941,NA,NA,NA,6021,116,117.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.36463111233333334,-0.6926231053333334,-0.8588176955,0.4711519753333333,-0.5502634886666666,-0.38729127550000003,0.29342706333333335,-0.11620363716666667,0.5198210628333333,72.73333333333333,95.76666666666667,63.78333333333333,93.35,5.233545367333333,39.38333333333333,90.56666666666666,15.1,61.1,55.51543968833333,43105.5,7.94077595,16.500642271333334,28.86906833333333,573.8266535666667
Glenn,2018,238.5,16,60,18,11,NA,53,NA,14,NA,NA,NA,NA,23,NA,10.081034482758621,0.03867578125,NA,29.424157303370787,NA,NA,NA,6021,116,117.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.36463111233333334,-0.6926231053333334,-0.8588176955,0.4711519753333333,-0.5502634886666666,-0.38729127550000003,0.29342706333333335,-0.11620363716666667,0.5198210628333333,72.73333333333333,95.76666666666667,63.78333333333333,93.35,5.233545367333333,39.38333333333333,90.56666666666666,15.1,61.1,55.51543968833333,43105.5,7.94077595,16.500642271333334,28.86906833333333,573.8266535666667
Glenn,2019,206.5,13,41,16.5,NA,NA,48,NA,15,NA,NA,NA,NA,12,NA,6.56123595505618,0.04074431818181818,NA,19.864942528735632,NA,NA,NA,6021,116,117.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.36463111233333334,-0.6926231053333334,-0.8588176955,0.4711519753333333,-0.5502634886666666,-0.38729127550000003,0.29342706333333335,-0.11620363716666667,0.5198210628333333,72.73333333333333,95.76666666666667,63.78333333333333,93.35,5.233545367333333,39.38333333333333,90.56666666666666,15.1,61.1,55.51543968833333,43105.5,7.94077595,16.500642271333334,28.86906833333333,573.8266535666667
Humboldt,2017,1302.5,41,265,82,56,NA,262,14.5,112.5,33,NA,18.5,22.5,120.5,24,7.187971698113207,0.03060207100591716,NA,18.080745341614907,0.2822625698324022,4.152904238618524,0.023502304147465437,6023,717.6666666666666,109.7,9,3,NA,91,34,1,3,10,4,11,12,2,-0.11013802713793104,-0.6238763656551725,-0.06416548655172413,0.08957163003448276,-0.1701246489310345,0.4213312447241379,1.380379778137931,0.05489175786206897,-0.08031116537931034,77.34482758620689,95.85172413793103,56.5551724137931,92.20689655172414,10.793430325103449,53.779310344827586,97.10689655172413,28.16896551724138,62.88965517241379,55.428225266206894,43189.03448275862,35.700943972413796,33.6807392587931,46.8323624137931,239.62552509034484
Humboldt,2018,1316.5,26,269.5,72.5,47.5,13,286.5,NA,90.5,41.5,NA,14.5,22,150,36,7.590645161290323,0.029120234604105573,NA,18.063253012048193,0.23277777777777778,4.431055900621118,0.11664145234493192,6023,717.6666666666666,109.7,9,2,3,111,35,1,1,9,3,8,11,1,-0.11013802713793104,-0.6238763656551725,-0.06416548655172413,0.08957163003448276,-0.1701246489310345,0.4213312447241379,1.380379778137931,0.05489175786206897,-0.08031116537931034,77.34482758620689,95.85172413793103,56.5551724137931,92.20689655172414,10.793430325103449,53.779310344827586,97.10689655172413,28.16896551724138,62.88965517241379,55.428225266206894,43189.03448275862,35.700943972413796,33.6807392587931,46.8323624137931,239.62552509034484
Humboldt,2019,1364.5,24.5,320,97,39.5,NA,273.5,18,104,37.5,NA,18,23,150.5,29.5,6.7878504672897195,0.028292899408284024,NA,14.706896551724139,0.2863509749303621,5.724,0.5896341463414634,6023,717.6666666666666,109.7,9,1,2,86,35,1,2,11,1,10,13,2,-0.11013802713793104,-0.6238763656551725,-0.06416548655172413,0.08957163003448276,-0.1701246489310345,0.4213312447241379,1.380379778137931,0.05489175786206897,-0.08031116537931034,77.34482758620689,95.85172413793103,56.5551724137931,92.20689655172414,10.793430325103449,53.779310344827586,97.10689655172413,28.16896551724138,62.88965517241379,55.428225266206894,43189.03448275862,35.700943972413796,33.6807392587931,46.8323624137931,239.62552509034484
Imperial,2017,963,26.5,214.5,30,51.5,NA,232.5,20.5,67.5,15.5,18.5,NA,38,32.5,18.5,11.647614314115309,0.04166566940912491,0.015607407407407407,43.98502495840266,0.4162748643761302,23.653603603603603,1.863888888888889,6025,1212,106.9,NA,NA,5,35,17,NA,NA,NA,NA,6,3,1,-0.495564848,-0.9875058053846154,-0.29643665103846156,0.047528976,-0.4309471515384615,-0.15757366257692307,0.2937330531538461,-0.2879273769615385,-0.6107557584230769,74.18076923076923,89.78461538461539,53.06923076923077,90.86153846153846,4.5869759626153845,49.77153846153846,97.75384615384615,14.457692307692307,57.86923076923077,45.591843448846156,42514.769230769234,2.1119060884615384,37.39233006773077,75.20203384615384,320.2944673076923
Imperial,2018,1062,37,187.5,46.5,63,NA,225.5,39,109,20.5,27,NA,28.5,54,12,12.108333333333333,0.039645161290322584,0.010366521739130434,50.61179775280899,0.6045584045584046,23.419103313840157,1.5391167192429023,6025,1212,106.9,NA,1,5,52,18,NA,NA,NA,NA,12,5,2,-0.495564848,-0.9875058053846154,-0.29643665103846156,0.047528976,-0.4309471515384615,-0.15757366257692307,0.2937330531538461,-0.2879273769615385,-0.6107557584230769,74.18076923076923,89.78461538461539,53.06923076923077,90.86153846153846,4.5869759626153845,49.77153846153846,97.75384615384615,14.457692307692307,57.86923076923077,45.591843448846156,42514.769230769234,2.1119060884615384,37.39233006773077,75.20203384615384,320.2944673076923
Imperial,2019,980.5,52.5,171.5,26.5,65.5,11.5,203,33.5,80,27.5,27,11.5,34.5,38.5,11,9.570178926441352,0.03775974025974026,0.01531625,36.50390189520624,0.4438356164383562,20.959049360146253,1.241715976331361,6025,1212,106.9,NA,1,3,41,20,NA,NA,NA,1,14,3,3,-0.495564848,-0.9875058053846154,-0.29643665103846156,0.047528976,-0.4309471515384615,-0.15757366257692307,0.2937330531538461,-0.2879273769615385,-0.6107557584230769,74.18076923076923,89.78461538461539,53.06923076923077,90.86153846153846,4.5869759626153845,49.77153846153846,97.75384615384615,14.457692307692307,57.86923076923077,45.591843448846156,42514.769230769234,2.1119060884615384,37.39233006773077,75.20203384615384,320.2944673076923
Inyo,2017,208.5,NA,35.5,19.5,NA,0,42,NA,16,NA,NA,0,NA,NA,NA,6.177966101694915,0.03994597249508841,NA,20.92035232383808,0.11986970684039089,NA,0.13164556962025317,6027,94.66666666666667,147.2,NA,NA,NA,9,4,NA,NA,NA,NA,NA,NA,NA,0.1996990465,0.09802389716666667,-0.10088597233333334,0.46880168116666665,0.2671960925,0.04936106866666667,0.48708940700000003,0.3171034605,0.6761069606666666,82.65,98.01666666666667,68.71666666666667,94.4,13.960895481,45.75,99.11666666666667,24.416666666666664,71.31666666666666,72.60223489,54212,4.898040933333333,24.88728622016667,99.75824,586.0159212166667
Inyo,2018,188,NA,34.5,17.5,NA,0,40,NA,12,NA,NA,NA,13,12,NA,6.812189616252821,0.04259241245136187,NA,17.15899814471243,0.13168044077134985,NA,0.1434959349593496,6027,94.66666666666667,147.2,NA,NA,NA,18,4,NA,NA,NA,NA,NA,2,NA,0.1996990465,0.09802389716666667,-0.10088597233333334,0.46880168116666665,0.2671960925,0.04936106866666667,0.48708940700000003,0.3171034605,0.6761069606666666,82.65,98.01666666666667,68.71666666666667,94.4,13.960895481,45.75,99.11666666666667,24.416666666666664,71.31666666666666,72.60223489,54212,4.898040933333333,24.88728622016667,99.75824,586.0159212166667
Inyo,2019,202,NA,35.5,18,NA,0,44,11,27,NA,NA,NA,0,14,NA,4.695454545454545,0.042633774160732454,NA,14.249305426930913,0.11013698630136987,NA,0.13278236914600552,6027,94.66666666666667,147.2,NA,NA,NA,20,6,NA,NA,NA,NA,NA,NA,NA,0.1996990465,0.09802389716666667,-0.10088597233333334,0.46880168116666665,0.2671960925,0.04936106866666667,0.48708940700000003,0.3171034605,0.6761069606666666,82.65,98.01666666666667,68.71666666666667,94.4,13.960895481,45.75,99.11666666666667,24.416666666666664,71.31666666666666,72.60223489,54212,4.898040933333333,24.88728622016667,99.75824,586.0159212166667
Kern,2017,5954.5,320.5,1125.5,355.5,268.5,99,1392.5,96.5,526.5,120,130.5,70,88,232.5,118.5,11.25320197044335,0.05323016157989228,0.0043254545454545455,34.99120603015076,0.2906815020862309,22.803012912482068,NA,6029,4479,115.8,24,4,43,362,112,2,7,24,4,64,36,8,-0.41644062139007093,-0.588079512496454,-0.4445105229148936,0.1310974714113475,-0.17972468474468084,-0.18603424108510638,-1.1894331412907801,-0.22686529507801417,-0.30001986460283686,77.22836879432624,90.0822695035461,54.97234042553192,92.59148936170213,3.670089458893617,34.47347517730496,98.06099290780142,15.895744680851063,63.10921985815603,51.92886503787234,51548.9219858156,4.959177914893617,42.08163191550071,60.97105170212766,702.9707343787234
